رقم النسخة;العنوان;المؤلف;الناشر;السنة;مكان النشر;الطبعة;الشفرة
1;دراسات في المسؤولية المدنية في القانون المدني الجزائري : المسؤولية عن فعل الغير -المسؤولية عن فعل الأشياء التعويض;سليمان ،علي علي;ديوان المطبوعات الجامعية;1989;الجزائر;ط.2;01/347
27;النظرية العامة للالتزام في القانون المدني الجزائري ج1;بلحاج , العربي;ديوان المطبوعات الجامعية;1999;الجزائر;;347/02ج1
41;النظرية العامة للالتزام في القانون المدني الجزء الثاني;بلحاج , العربي;ديوان المطبوعات الجامعية;1999;الجزائر;;347/02ج2
56;قانون الإجراءات المدنية;وزارة العدل;الديوان الوطني للاشغال التربوية;;الجزائر;;347/09
57;"شرح القانون المدني : : مصادر الحقوق الشخصية ""الالتزامات ""-دراسة مقارنة";السرحان,عدنان إبراهيم;دار الثقافة;2012;عمان;;347/18
60;البطلان في القانون المدني و القوانين الخاصة;عبد الحكيم فودة;دار الفكر و القانون;1999;الاسكندرية;ط.2;347/03
62;النظرية العامة للالتزام : مصادر الالتزام في القانون المدني الجزائري;سليمان،علي علي;ديوان المطبوعات الجامعية;1998;الجزائر;ط.7;347/04
70;مساهمة في نظرية الاختصاص : المسائل الفرعية امام المحاكم الجزائية;زروال،عبد الحميد;ديوان المطبوعات الجامعية;1994;الجزائر;;347/39
71;الضوابط الشرعية و القانونية لاختلاف المؤجر و المستاجر;حسن داود,محمد عبد المقصود;دار الجامعة الجديدة;;الاسكندرية;;347/06
74;شرح مقدمة القانون المدني : النظرية العامة للحق;أبو السعود,رمضان;دار المطبوعات الجامعية;2006;الإسكندرية;;347/05
90;القانون المدني;داودي سلامي;ديوان المطبوعات الجامعية;1991;الجزائر;;347/847
96;نظرية الحق : ماهية الحق،أنواع الحقوق ، الأشياء محل الحق، ميلاد الحق وحمايتة وإثباتة، الشخصية القانونية;منصور،محمدحسين;دار الجامعة الجديدة;2009;الاسكندرية;;347/10
103;الوسيط في الطعن بالاستئناف;عمر ، نبيل إسماعيل;دار الجامعة الجديدة;2000;الاسكندرية;;347/12
105;شرح القانون المدني الجزائري : التامينات العينية و الشخصية:عقد الكفالةج1;السعدي ،محمد صبري;دار الهدى;;الجزائر;;347/08ج1
108;احكام الالتزام : : الموجز في النظرية العامة للالتزام:دراسة مقارنة في القانونين المصري واللبناني;سلطان،أنور;دار النهضة العربية;1984;بيروت;;347/13
115;الحقوق العينية و الاصلية : دراسة في القانون اللبناني و القانون المصري;الصدة،عبد المنعم فرج;دار النهضة العربية;;بيروت;;347/14
117;المرجع في التعليق على قانون المرافعات : التعليق على نصوص قانون المرافعاتالمدنية و التجارية حسب اخر التعديلات ج3;عبد التواب،معوض;منشاة المعارف;2000;الاسكندرية;ط1;347/15ج3
118;المرجع في التعليق على قانون المرافعات : : التعليق على نصوص قانون المرافعات المدنية و التجارية حسب اخر التعديلات .ج2;عبد التواب،معوض;منشأة المعارف;2000م;الإسكندرية;;347/15ج2
119;المرجع في التعليق على قانون المرافعات : : التعليق على نصوص قانون المرافعات المدنية و التجارية حسب اخر التعديلات .ج1;عبد التواب ،معوض;منشأة المعارف;2000م;الإسكندرية;;347/15ج1
121;الموجز في احكام القانون المدني :الحقوق العينية الاصلية ,احكامها;كيرة،حسن;منشاة المعارف;1998م;الاسكندرية;;347/16
124;قانون الاثبات : مبادئ الاثبات و طرقه;منصور،محمد حسين;منشاة المعارف;1998;الاسكندرية;;347/17
126;شرح قانون العقوبات الجزائري : القسم الخاص;نجم , محمد صبحي;ديوان المطبوعات الجامعية;2000;الجزائر;;345/311
127;قانون اصلاح السجون : code de la reforme penitentiaire;;ديوان المطبوعات الجامعية;1979;الجزائر;;347/848
135;إذن التفتيش فقها و قضاءا;الرخاوي،كمال كمال;دار الفكر و القانون;2000م;المنصورة;;347/19
138;آليات تسوية منازعات العمل و الضمان الاجتماعي في القانون الجزائري;سليمان ,أحمية;ديوان المطبوعات الجامعية;2011;الجزائر;;347/20
153;الحبس الاحتياطي و المراقبة القضائية في التشريع الجزائري و المقارن;بوكحيل , الاخضر;ديوان المطبوعات الجامعية;1992;الجزائر;;345/791
166;ضمانات المشتبه فيه و حقوق الدفاع : من العهد البربري حتى الاستقلال ج.1;محمد , محدة;دار الهدى;1991;الجزائر;;345/69ج1
168;ضمانات المشتبه فيه أثناء التحريات الأولية;محدة , محمد;دار الهدى;1991;الجزائر;ط.1;345/101
170;مصادر الالتزام في القانون المدني : دراسة مقارنة بالفقه الاسلامي;محمد شريف احمد;دار الثقافة;1999;الاردن;;347/23
173;الضرر المرتد و تعوضه في المسؤولية التقصيرية : دراسة مقارنة;جبر،عزيز كاظم;دار الثقافة;1998;الاردن;;347/24
175;الوجيز في شرح القانون المدني : : الحقوق العينية:الحقوق العينية الأصلية;العبيدي،علي الهادي;دار الثقافة;2015م;الاردن;ط.12;347/25
178;مبادئ قانون اصول المحاكمات الجزائية;ممدوح خليل البحر;دار الثقافة;1998;الاردن;ط.1;347/26
181;طرق الطعن في الاحكام الجزائية;مصطفى صخري;دار الثقافة;1998;عمان;ط.1;347/27
184;التمسك بالبطلان في قانون المرافعات;احمد هندى;دار الجامعة الجديدة;1999;الاسكندرية;;347/28
186;النظرية العامة في الاثبات;سمير عبد السيد تناغو;منشاة المعارف;1999;مصر;;347/576
187;حبس المدين في قانون الاجراء الاردني : دراسة مقارنة;أبورمان ،عبد الرزاق رشيد;دار وائل للنشر;1999;الاردن;ط.1;347/29
190;الصيغ القضائية الحديثة : صيغ الدعاوى العمالية و التامينات الاجتماعية;العمروسي،أنور;دار المطبوعات الجامعية;1999;الاسكندرية;ط.1;347/30
193;جريمة القذف : دراسة مقارنة بين الشريعة الاسلامية و القوانين الوضعية;طوالبة ،علي حسن;دار الثقافة;1998;الاردن;ط.1;250/300
197;التعليق على نصوص قانون الاثبات : عبء الاثبات ,المحررات الرسمية و العرفية;أبو الوفا،أحمد;دار المطبوعات الجامعية;1998;الاسكندرية;;347/32
200;التنظيم القانوني لعلاقات العمل في التشريع الجزائري : مبادئ قانون العمل;أحمية سليمان;ديوان المطبوعات الجامعية;2004;الجزائر;ط.2;342/141 ج1
211;العمل غير المشروع باعتباره مصدر الالتزام;محمد هشام القاسم;ديوان المطبوعات الجامعية;1985;الجزائر;;347/34
222;الوجيز في الاجراءات المدنية;إبراهيمي ،محمد;ديوان المطبوعات الجامعية;2006;الجزائر;ط.3;347/35ج1
231;الوجيز في الإجراءات المدنية : الدعوى القضائية -دعاوى الحيازة-نشاط القاضي;إبراهيمي ،محمد;ديوان المطبوعات الجامعية;2006;الجزائر;ط3;347/35ج2
242;التعويض القضائي : في نطاق المسؤولية العقدية : دراسة مقارنة;الحسناوي،حسن حنتوش;دار الثقافة;1999;عمان;;347/37
259;فن المرافعة امام المحاكم الجنائية;حامد , الشريف;دار الفكر الجامعي;1999;الاسكندرية;ط.3;347/40
262;الخطا المشترك;أبوسعد،محمد شتا;دار الفكر الجامعي;د.ت;الاسكندرية;;347/41
265;دعاوى براءة الذمة : احكامها و صيغها النمودجية على ضوء الفقه و قضاء النقض;فودة , عبد الحكم;دار الفكر الجامعي;د.ت;الاسكندرية;;347/42
268;الأدلة التاديبية : إجراءات جمع الأدلة التاديبية و جمع الاستدلالات-خصائص الإثبات التاديبي;طنطاوي , ممدوح;مطبعة المنصورة;2000;;ط.1;347/43
271;المراكز القانونية في منازعات الحيازة : في ضوء المستحدث من القوانين و احكام النقض;خالد،عدلي أمير;دار المطبوعات الجامعية;2000;الاسكندرية;;347/44
275;شرح أحكام قانون الإثبات المدني;عباس العبودي;دار الثقافة;1999;;ط.1;347/555
280;صيغ الاوراق القضائية للدعاوى المستعجلة و التنفيد القضائي و الاداري;إبراهيم,هلال يوسف;دار المطبوعات الجامعية;1999;الاسكندرية;;347/46
281;حجية الشهادة في الاثبات الجزائي :دراسة مقارنة;ربيع , عماد محمد;دار الثقافة;1999;الاسكندرية;ط.1;347/47
284;دعاوى التنفيد : الوقتية المستعجلة الموضوعية;مدحت محمد الحسيني;bibl el ichaa;1999;مصر;ط.1;347/48
287;إشكاليات التنفيذ الجبري : الوقتية والموضوعية;عمر ، نبيل إسماعيل;دار الجامعة الجديدة;2011;الأسكندرية;;347/49
290;نطاق الطعن بالاستئناف : في قانون المرافعات المصري و الفرنسي;عمر ، نبيل إسماعيل;دار الجامعة الجديدة;1999;الاسكندرية;ط.1;347/50
292;جنوح الاحداث والتغير الإجتماعي في الجزائر المعاصرة : دراسة في علم الإجرام المقارن;مانع ,علي;ديوان المطبوعات الجامعية;2002;الجزائر;;345/100
295;الحيازة و التقادم المكسب;فريدة ،محمدي;ديوان المطبوعات الجامعية;2000;الجزائر;;347/52
307;حق الملكية في ذاته في القانون;سوار،محمد وحيد الدين;دار الثقافة;1997;الاردن;ط.2;347/53
310;شرط الاحتفاظ بالملكية في بيع المنقول المادي;منصور , محمد حسين;منشاة المعارف;;الاسكندرية;;347/54
313;نظريتا القانون و الحق : و تطبيقاتهما في القوانين الجزائرية;اسحاق ابراهيم منصور;ديوان المطبوعات الجامعية;2004 م;الجزائر;ط.7;347/55
314;نظريتا الحق والقانون;اسحاق، ابراهيم منصور;ديوان المطبوعات الجامعية;2004م;الجزائر;;340/50
323;دعوى التعويض : عن المسؤولية المدنية بصفة عامة;محمد المنجي;منشاة المعارف;1999;الاسكندرية;ط.2;347/56
326;مباشرة الدعوى المدنية : في ضوء التعديل المستحدث في قانون المرافعات و الاثبات;خالد،عدلي أمير;دار الفكر الجامعي;د.ت;الاسكندرية;;347/57
329;قضاء النقض المدني في اجراءات الدعوى;شعلة،سعيد أحمد;منشاة المعارف;1999;الاسكندرية;;347/58
332;الرقابة القضائية على أحكام التحكيم بين الازدواجية و الوحدة : دراسة تحليلة و انتقادية;الحداد،حفيظة السيد;دار الفكر الجامعي;2003;الاسكندرية;;347/59
335;طبيعة الدفع بالتحكيم في الخصومة المدنية : دراسة مقارنة بين القانونين الاردني و المقارن;محيسن،إبراهيم حرب;مكتبة دار الثقافة;1999;عمان;ط.1;347/60
338;الحكم القضائي : دراسة لبعض الجوانب الفنية للحكم القضائي;عمر ، نبيل إسماعيل;دار الجامعة الجديدة;2008;الاسكندرية;;347/61
340;مدى سلطة المحكمة المدنية في تعديل نطاق الدعوى : دراسة تاصيلية مقارنة في قانون المرافعات;النداوي،أدم وهيب;دار الثقافة للنشروالتوزيع;1997;عمان;ط.1;347/62
344;أحكام الإلتزام : اثار الحق في القانون المدني;الفار،عبد القادر;دار الثقافة;2019م;عمان;;347/63
348;مصادر الإلتزام : مصادر الحق الشخصي في القانون المدني;الفار ،عبد القادر;دار الثقافة;2014;عمان;ط.5;347/65
350;قانون التنفيد الجبري;خليل ،أحمد;مكتبة الاشعاع القانونية;1998;الاسكندرية;;347/66
353;الصفة في التنفيذ : دراسة في قانون المرافعات المدنية و التجارية;احمد هندى;دار الجامعة الجديدة;2000;الاسكندرية;;347/67
356;عوامل جنوح الاحداث في الجزائر : نتائج دراسة ميدانية;مانع ،علي;ديوان المطبوعات الجامعية;1997;الجزائر;;347/68
363;المسؤولية المدنية للدولة عن اخطاء موظفيها;الطائي،عادل أحمد;دار الثقافة;1999;عمان;;347/69
366;نظام الملكية;;الفتح للطباعة و النشر;2000;الاسكندرية;ط.3;347/70
369;مدى التعويض عن تغير الضرر في جسم المضرور و ماله : في المسؤولية المدنية العقدية و التقصيرية;محمد عبد الرحمن،أحمد شوقي;منشاة المعارف;2000;الاسكندرية;;347/71
371;اصول المحاكمات المدنية و التنظيم القضائي;القضاة ،مفلح عواد;دار الثقافة;1988;عمان;ط.3;347/72
374;شرح القانون المدني : الحقوق العينية التبعية;سوار،محمد وحيد الدين;دار الثقافة;2006;الاردن;ط.1;347/73ج3
380;القانون المدني في ثوبه الإسلامي : مصادر الإلتزام:شرح مفصل لأحكام التقنيات العربية;الجمال،مصطفى محمد;الفتح للطباعة و النشر;;الاسكندرية;ط.1;347/74
383;الوافي في شرح القانون المدني في الالتزامات : في الفعل الضار و المسؤولية المدنية /الاحكام العامة;سليمان مرقش;دار الكتب القانونية;1998;الاسكندرية;ط.5;347/75ج3
384;الوافي في شرح القانون المدني في الالتزامات : في الفعل الضار و المسؤولية المدنية /المسؤوليات المفترضة;سليمان مرقش;دار الكتب القانونية;1998;الاسكندرية;ط.5;347/75ج4
385;الوافي في شرح القانون المدني : الاثراء على حساب الغير;سليمان مرقش;دار الكتب القانونية;1990;الاسكندرية;ط.3;347/75ج5
386;الوافي في شرح القانون المدني : في الإلتزامات-أحكام الإلتزام;مرقش،يليمان;;;;;347/75ج6
388;الوافي في شرح القانون المدني : في العقود المسماة عقد الإيجار;مرقش،سليمان;دار الكتب القانونية;2000;مصر;;347/75ج8
389;الوافي في شرح القانون المدني : شرح قانون إيجار الأماكن;مرقش،سليمان;دار الكتب القانونية;1998;مصر;;347/75ج9
390;الوافي في شرح القانون المدني : شرح قانون ايجار الاماكن و تنظيم العلاقة بين المؤجر و المستاجر;سليمان مرقش;دار الكتب القانونية;1998;الاسكندرية;ط.9;347/75ج10
391;الوافي في شرح القانون المدني : في الحقوق العينية التبعية;سليمان مرقش;دار الكتب القانونية;1995;الاسكندرية;ط.3;347/75ج 11
392;الوافي في شرح القانون المدني : اصول الاثبات و اجراءاته/الادلة المطلعة;سليمان مرقش;دار الكتب القانونية;1998;الاسكندرية;ط.5;347/75ج12
393;الوافي في شرح القانون المدني : اصول الاثبات و اجراءاته /الادلةالمقيدة;سليمان مرقش;دار الكتب القانونية;1998;مصر;ط.4;347/75ج13
394;القانون المدني : العقود المسماة البيع-التامين -الايجار;قاسم،محمد حسن;منشورات الحلبي الحقوقية;2001;لبنان;;347/851
398;اصول المحاكمات المدنية;خليل،أحمد;منشورات الحلبي الحقوقية;2001;لبنان;;347/76
402;الكامل في شرح القانون المدني : دراسة مقارنة;موريس نخلة;منشورات الحلبي الحقوقية;2001;لبنان;;347/78ج1
404;الكامل في شرح القانون المدني من المادة 134الى المادة 248;موريس نخلة;منشورات الحلبي;2001;لبنان;;347/78ج3
412;طرق الطعن بقرارات وقف أومتابعة التنفيذ الصادرة في المعاملة التنفيذية : دراسة في مشاكل التنفيذ على ضوء الاجتهاد الحديث;طوبيا , بيار اميل;منشورات الحلبي الحقوقية;2000;لبنان;;347/80
413;قضاء الأمور المستعجلة;محمد علي راتب;منشورات الحلبي الحقوقية;;لبنان;ط.6;347/81ج1
415;مبدأ المساواة أمام القضاء وكفالة حق التقاضي. : دراسة مقارنة لمضمون ونطاق المساواة;عبد الغني بسيوني عبد الله;منشورات الحلبي الحقوقية;2001;لبنان;;347/82
416;المطول في القانون المدني :مفاعيل العقد او اثاره;جاك غستان;المؤسسة الجامعية;2000;لبنان;;347/83
417;المطول في القانون المدني : تكوين العقد;غستان،جاك;المؤسسة الجامعية للدراسات;2000;لبنان;;347/79
418;المجموعة المتخصصة في المسؤولية القانونية للمهنيين : المسؤولية الطبية;المؤتمرات العلمية لجامعة بيروت العربية;منشورات الحلبي الحقوقية;2000;لبنان;;347/136ج1
419;المجموعة المتخصصة في المسؤولية القانونية للمهنيين : المسؤولية المهنية للمحامين و المهندسين الجزء الثاني;المؤتمرات العلمية لجامعة بيروت العربية;منشورات الحلبي الحقوقية;2000;لبنان;;347/136ج2
420;المجموعة المتخصصة في المسؤولية القانونية للمهنيين : المسؤولية المهنية الاعلامية و المصرفية و المحاسبة و سوسيولوجيا المهن ج3-4;المؤتمرات العلمية لجامعة بيروت العربية;منشورات الحلبي الحقوقية;2000;لبنان;;347/136ج3-ج4
423;نمادج دعاوى/ج1: : في القضايا التجارية-في قضايا العمل-في قضايا الأحوال;أبوعيد،إلياس;منشورات الحلبي;1995;لبنان;;347/85ج1
424;نمادج دعاوى /ج5;أبوعيد،إلياس;د.ن;1999;د.م;;347/85ج5
425;نمادج دعاوى /ج4;أبوعيد،إلياس;منشورات الحلبي الحقوقية;1997;لبنان;;347/85ج4
426;نمادج دعاوى /ج3;أبوعيد،إلياس;منشورات الحلبي الحقوقية;1995;لبنان;;347/85ج3
427;نمادج دعاوى/ج2;أبوعيد،إلياس;منشورات الحلبي;1995;لبنان;;347/85ج2
429;نماذج دعاوى التنفيذ و القضاء المستعجل: : مع تعليق على احكام و قرارات;أبوعيد،إلياس;منشورات الحلبي الحقوقية;1992;بيروت;;347/86ج2
431;النظرية العامة للموجبات والعقود : مصادر الموجبات:العقد-المسؤولية ج1;سيوفي،جورج;مكتبة الحلبي الحقوقية;1994;بيروت;;347/87ج1
432;النظرية العامة للموجبات و العقود : مصادر الموجبات ج1;سيوفي،جورج;منشورات الحلبي;;لبنان;ط.2;347/87ج2
433;الوسيط في شرح القانون المدني الجديد : نظرية الإلتزام بوجه عام-مصادر الإلتزام;السنهوري،عبد الرزاق أحمد;منشورات الحلبي الحقوقية;2000;بيروت;ط.3;347/88مج1-ج1
434;الوسيط في شرح القانون المدني الجديد : نظرية الإلتزام بوجه عام-مصادر الإلتزام المجلد الثاني-جزء اول;السنهوري،عبد الرزاق أحمد;منشورات الحلبي الحقوقية;2000;بيروت;;347/88مج2-ج1
436;الوسيط في شرح القانون المدني الجديد: : نظرية الإلتزام بوجه عام -الإثبات-أثار الإلتزام;السنهوري،عبد الرزاق أحمد;منشورات الحلبي الحقوقية;2000;بيروت;;347/88ج2
441;الوسيط في شرح القانون المدني الجديد ج3 : :نظرية الاتزام بوجه عام/الاوصاف الحوالة الانقضاء;السنهوري،عبد الرزاق أحمد;منشورات الحلبي الحقوقية;2000;لبنان;ط.3;347/88ج3
444;الوسيط في شرح القانون المدني الجديد : العقود التي تقع على الملكية : البيع -الجزء الرابع;السنهوري،عبد الرزاق أحمد;منشورات الحلبي الحقوقية;1998;لبنان;ط.3;347/88ج4
445;الوسيط في شرح القانون المدني الجديد : العقود التي تقع على الملكية: الهبة والشركة و القرض و الدخل الدائم و الصلح -الجزء الخامس-;السنهوري،عبد الرزاق أحمد;منشورات الحلبي الحقوقية;2000;لبنان;ط.3;347/88ج5
449;الوسيط في شرح القانون المدني الجديد : العقود الواردة على الإنتفاع بالشيء:الإيجار والعارية المجلد الأول-جزء السادس;السنهوري،عبد الرزاق أحمد;منشورات الحلبي الحقوقية;2000;بيروت;3;347/88مج1-ج6
450;الوسيط في شرح القانون المدني الجديد : العقود الواردة على الانتفاع بالشيء:الايجار و العارية المجلدالأول-الجزء السادس;السنهوري،عبد الرزاق أحمد;منشورات الحلبي الحقوقية;2000;لبنان;ط.3;347/88مج1-ج6
452;الوسيط في شرح القانون المدني الجديد : العقود الواردة على الانتفاع بالشيء الايجار و العارية المجلد الثاني -جزء سادس;السنهوري،عبد الرزاق أحمد;منشورات الحلبي الحقوقية;1998;لبنان;ط.3;347/88مج2-ج6
456;الوسيط في القانون المدني الجديد : العقود الواردة على العمل : المقاولة و الوكالة و الوديعة و الحراسة;عبد الرزاق احمد السنهوري;منشورات الحلبي الحقوقية;1998;لبنان;ط.3;347/88ج7م1
460;الوسيط في شرح القانون المدني الجديد : عقود الغرر : عقود المقامرة و الرهان و المرتب مدى الحياة و عقد التامين;عبد الرزاق احمد السنهوري;منشورات الحلبي الحقوقية;2000;لبنان;ط.3;347/88ج7م2
462;الوسيط في شرح القانون المدني الجديد : حق الملكية مع شرح مفصل للاشياء و الاموال الجزء الثامن;السنهوري،عبد الرزاق أحمد;منشورات الحلبي الحقوقية;2000;لبنان;ط.3;347/88ج8
464;الوسيط في شرح القانون المدني الجديد : أسباب كسب الملكية مع الحقوق العينية المجلد الأول-الجزء التاسع;السنهوري،عبد الرزاق أحمد;منشورات الحلبي الحقوقية;2000;بيروت;ط.3;347/88مج1-ج9
465;الوسيط في شرح القانون المدني الجديد : اسباب كسب الملكية مع الحقوق العينية الاصلية المتفرعة عن الملكية المجلد الأول-الجزء التاسع;السنهوري،عبد الرزاق أحمد;منشورات الحلبي الحقوقية;2000;لبنان;ط.3;347/88مج1-ج9
468;الوسيط في شرح القانون المدني الجديد : اسباب كسب الملكية مع الحقوق العينية الاصلية المتفرعة عن الملكية;السنهوري،عبد الرزاق أحمد;منشورات الحلبي الحقوقية;2000;لبنان;ط.3;347/88مج2-ج9
472;الوسيط في شرح القانون المدني الجديد : في التأمينات الشخصية و العينية;السنهوري,عبد الرزاق أحمد;منشورات الحلبي الحقوقية;2000;لبنان;ط.3;347/88ج10
480;عقد الايجار;تناغو،سمير عبد السيد;منشاة المعارف;1998;الاسكندرية;;347/90
483;عقد البيع;أبوسعد،محمد شتا;دار الفكر العربي;2000;القاهرة;ط.1;347/91
485;قانون الاستملاك المنقح : النصوص السابقة-تطور الإجتهاد ج1;نخلة،موريس;منشورات الحلبي الحقوقية;;لبنان;;347/92ج1
487;قانون الاستملاك المنقح ج2 : النصوص السابقة-تطور الإجتهاد;نخلة،موريس;منشورات الحلبي;;الاسكندرية;;347/92ج2
489;ملحق لقانون الإستملاك المنقح : تحديد تعويض الإستملاك;نخلة،موريس;منشورات الحلبي;1998;لبنان;;347/92ج3
491;قانون العمل;سليم،عصام أنور;منشاة المعارف;1999;الاسكندرية;;347/93
502;الجامع في صيغ دعاوى الاحوال الشخصية : للمسلمين و غير المسلمين الاجانب;قمر محمد موسى;المكتب الفني للاصدارات القانونية;;;ط.5;347/95
506;الدفع بعدم القبول في المواد المدنية و الجزائية;عوض,علي حسن;دار المطبوعات الجامعية;1996;الاسكندرية;الاسكندرية;347/96
509;اشكالات التنفيذ المدنية و الجنائية;الشواربي،عبد الحميد;منشاة المعارف;1996;الاسكندرية;;347/97
513;الصيغ القانونية للصحف و الأوراق القضائية و طلبات الشهر العقاري الجزء الأول;طلبة،أنور;منشاة المعارف;1994;الاسكندرية;;347/98ج1
514;الصيغ القانونية للصحف والأوراق القضائية وطلبات الشهر العقاري الجزء الثاني;طلبة ،أنور;منشأة المعارف;1994;بيروت;;347/98ج2
516;النظرية العامة للإلتزام : أحكام الإلتزام;سعد،نبيل إبراهيم;دار الجامعة الجديدة;2009;الإسكندرية;;347/99
522;المشكلات العملية في القضاء المستعجل;مراد،عبد الفتاح;جمهورية مصر العربية;;الاسكندرية;;347/101
525;أدوات المحامي الناجح;الشاعر , المتولي صالح;دار الكتب القانونية;2001;مصر;;347/102
528;الصيغ للانذارات على يد محضر;عوض,علي حسن;دار الكتب القانونية;2000;;;347/103
529;الدفع بعدم القبول في المواد المدنية و الجنائية;حسن،علي عوض;دار الكتب القانونية;2000;مصر;;347/104
532;نظرية العقد في قوانين البلاد العربية;الصدة ،عبد المنعم فرج;دار النهضة العربية;1973;لبنان;;347/105
534;البطلان المدني : الاجرائي و الموضوعي;الشواربي , عبد الحميد;المكتب الجامعي الحديث;2007;الاسكندرية;;347/413
536;الإعلان القضائي بين الواقع و المنطق في التنظيم القانوني لكل من مصر و الكويت و فرنسا نحو علم حقيقي ينتج عن الاعلان;هندي،أحمد;دار الجامعة الجديدة;1999;الاسكندرية;;347/107
537;ضوابط الاختصاص القضائي : في المواد المدنية و الجنائية و الادارية و الشرعية على ضوء الفقه و احكام القضاء;فودة , عبد الحكم;منشاة المعارف;1995;الاسكندرية;;347/108
540;مدى الزام الغير بما لم يلتزم : دراسة لاشكالات التعهد عن الغير;الديب , محمود عبد الرحيم;دار الجامعة الجديدة;;الاسكندرية;;347/110
545;الاحكام الموضوعية في الولاية على المال;حمدي،كمال;منشاة المعارف;;الاسكندرية;;347/109
569;تجديد الالتزام : نطاقه -تاصيله-اثاره;وهدان،رضا متولي;دار الجامعة الجديدة;2001;الاسكندرية;;347/112
572;التعسف في استعمال الحق فقها و قضاءا;سيد احمد , ابراهيم;دار الفكر الجامعي;2002;الاسكندرية;ط.2;347/113
575;فكرة الحراسة في المسؤولية المدنية عن الأشياء غير الحية;محمد سعيد أحمد الرحو;دار الثقافة;2001;عمان;;347/344
578;مدى سلطة المحكمة المدنية في تعديل نطاق الدعوى : دراسة تاصيلية مقارنة;ادم وهيب النداوي;دار الثقافة;2001;الاردن;ط.1;347/854
586;مصادر الالتزام : الفعل الضار, الفعل النافع ,لقانون;منصور , محمد حسين;الدار الجامعية;2000;الاسكندرية;;347/114
589;أصول التنفيذ الجبري;خليل,أحمد;الدار الجامعية;2000;بيروت;;347/130
592;شرح القانون المدني : الحقوق العينية الأصلية:أسباب كسب الملكية;سوار،محمد وحيد الدين;مكتبة الثقافة;1999;الاردن;;347/111
599;الاختصاص القضائي للمحاكم العادية في قانون المرافعات بين النظرية و التطبيق.;عمر التحيوي،محمد السيد;دار المطبوعات الجامعية;2001;الاسكندرية;;347/116
602;عقود المعلوماتية : دراسة في المبادئ العامة في القانون المدني;خاطر،نوري حمد;دار الثقافة;2001;الاردن;;347/117
604;السندات العادية و دورها في الاثبات المدني : دراسة مقارنة بالتشريعات;العبودي،عباس;دار الثقافة;2001;الاردن;ط.1;347/118
614;خصوصيات التقاضي في مسائل الاحوال الشخصية المتعلقة بالولاية على النفس;خليل،أحمد;دار المطبوعات الجامعية;2000;الاسكندرية;;347/119
616;العقود المسماة عقد الايجار : الاحكام العامة;أبو السعود،رمضان;دار المطبوعات الجامعية;1999;الاسكندرية;;347/120
621;مصادر الالتزام : العقد و الادارة المنفردة;منصور , محمد حسين;دار الجامعة الجديدة;2000;مصر;;347/855
628;التعويض القضائي و الشرط الجزائي و الفوائد القانونية;ابو سعد, محمد شتا;دار الجامعة الجديدة;2001;الاسكندرية;;347/123
632;أسس الثقافة القانونية في نظريات القانون و الحق و العقد;سليم،عصام أنور;الدار الجامعية;1997;لبنان;;347/125
636;اصول المحاكمات الجزائية : الدعوى الجنائية;ثروت , جلال;المؤسسة الجامعية للدراسات;1996;لبنان;ط.1;345/403
645;التنفيذ الجبري : قواعده وإجراته;عمر،نبيل;دار الجامعة الجديدة;2003;الإسكندرية;;347/569
653;الخبرة : في المواد المدنية و الجنائية;عوض,علي حسن;دار الفكر الجامعي;2002;الاسكندرية;;347/129
656;دراسة عملية في اسباب الاباحة وموانع العقاب;عزمي , ممدوح;دار الفكر الجامعي;2000;الاسكندرية;;345/314
659;عقد الوكالة في التشريع و الفقه و الاجتهاد;صابر،شربل طانيوس;;;;;347/131
662;عقود مقاولات البناء و الاشغال الخاصة و العامة;مغبغب , نعيم;;1997;;ط.2;347/132
663;قانون التنفيذ الجبري;خليل،أحمد;دار الجامعة الجديدة;1997;الإسكندرية;;347/115
671;القضاء المستعجل بين النظرية و التطبيق;طارق زيادة;المؤسسة الحديثة للكتاب;1993;لبنان;ط.1;347/134
674;المبادئ الشرعية و القانونية;صبحي محمصاني;دار العلم للملايين;1997;لبنان;ط.8;347/135
690;الوجيز في الحقوق العينية الاصلية : مصادر و احكام الحقوق العينية الاصلية في القانون المصري و اللبناني;أبو السعود،رمضان;منشورات الحلبي;2002;لبنان;;347/137
695;الوسيط في التنفيذ الجبري للاحكام : و غيرها من السندات التنفيذية;عمر ، نبيل إسماعيل;دار الجامعة الجديدة;2000;الاسكندرية;;347/138
699;الوسيط في التنفيذ الجبري;عمر ، نبيل إسماعيل;دار الجامعة الجديدة;2001;الاسكندرية;;347/139
715;المسؤولية عن مضار الجوار;مروان كساب;;1998;لبنان;ط.1;347/140
716;الاثبات في المواد المدنية و التجارية في ضوء الفقه و القضاء;سعد , نبيل ابراهيم;منشاة المعارف;2000;الاسكندرية;;347/141
717;الطلاق تاريخا و تشريعا و واقعا : دراسة علمية مقارنة;خاشع حقي;دار ابن حزم;1997;لبنان;ط.1;346/117
721;حماية الملكية الفكرية : و احكام الرقابة على المصنفات الفنية;المنشاوي , عبد الحميد;دار الفكر الجامعي;2002;الاسكندرية;;347/142
722;النظرية العامة للإلتزام:مصادر الإلتزام;أبو السعود,رمضان;دار المطبوعات الجامعية;2002;الإسكندرية;;347/64
